monthly_income,monthly_expenses,credit_score,transactions_per_month,debt_ratio
3752.26,1700.8,639,27,0.383
4738.78,1702.56,627,31,0.071
2676.86,2864.38,537,20,0.285
4338.18,1285.99,758,33,0.242
1915.55,1187.01,636,24,0.183
961.1,1800.33,560,29,0.248
1073.48,1322.66,620,28,0.192
2178.54,1921.65,760,26,0.499
2877.36,2665.28,340,30,0.352
3992.95,1043.02,641,25,0.308
4725.68,3185.77,507,20,0.136
1301.92,1642.68,394,19,0.574
3171.98,1794.53,609,21,0.097
4282.72,200,353,22,0.256
3810.05,1297.23,614,26,0.319
1270.52,469.84,735,26,0.448
2870.11,3127.77,649,36,0.149
1776.34,3151.19,783,21,0.434
3376.36,1791.06,455,29,0.429
4683.58,1803.02,574,23,0.406
1168.6,1203.39,587,20,0.226
3196.02,2245.88,773,32,0.174
3530.09,2233.06,402,23,0.362
4658.18,1912.38,763,17,0.372
3991.06,1081.02,524,20,0.506
3637.56,1964.03,685,27,0.52
2106.16,2226.8,611,15,0.649
3969.5,1795.75,379,21,0.329
1973.95,2538.93,473,26,0.298
3042.86,1062.22,584,18,0.298
4178.4,3105.94,390,30,0.163
3011.23,884.66,760,25,0.328
2944.85,2407.48,619,26,0.271
3783.9,2135.99,396,28,0.476
585.23,3877,720,22,0.21
5155.46,1291.83,617,28,0.018
1905.6,396.36,438,20,0.389
1798.64,200,366,24,0.257
1199.59,1981.8,463,26,0.684
3870.85,3002.15,452,27,0.39
1402.87,2909.04,537,23,0.137
3712.83,2540.31,512,24,0.21
2249.12,2506.03,676,27,0.074
3242.53,2242.73,692,31,0.215
2879.17,3921.21,565,22,0.427
1427.19,2179.54,684,14,0.133
3096.06,2811.58,581,23,0.293
2019.77,1790.84,608,26,0.225
3579.33,1437.91,672,22,0.49
2796.85,1458.63,322,23,0.187
3479.14,3297.75,495,38,0.096
2014.56,1876.84,543,26,0.478
2581.68,3129.22,820,25,0.414
3744.89,745.6,500,22,0.238
4654.99,1044.83,639,22,0.205
2455.79,1823.5,376,18,0.184
3470.89,419.6,341,29,0.642
1485.69,2575.51,437,18,0.07
2352.5,2134.43,700,27,0.218
1441.97,1315.85,432,24,0.266
2826.53,2549.54,376,15,0.29
3610.08,505.46,390,27,0.36
3641.82,1643.51,332,23,0.254
4674.78,2595.5,408,19,0.441
2009.71,1032.29,746,29,0.436
989.18,1156.65,360,27,0.088
2302.43,1799,783,18,0.596
2907.02,4359.66,349,27,0.186
855.56,2514.36,817,31,0.161
1780.13,2409.03,559,38,0.521
2625.78,1304.88,836,29,0.527
4576.92,2215.73,574,18,0.198
3836.97,1291.04,821,20,0.643
4908.03,2892.87,317,27,0.208
1570.35,2419.58,414,34,0.105
3455.38,2264.17,336,30,0.174
3077.52,2600.34,745,29,0.188
644.26,3216.56,790,30,0.419
2042.55,2828.32,580,18,0.09
2755.15,3860.59,752,21,0.337
4092.08,2436.35,543,33,0.272
1823.15,2224.05,684,17,0.341
3433.57,2467.99,794,31,0.089
1894.1,2859.29,378,19,0.12
4585.19,1205.43,584,27,0.374
2435.93,1919.88,452,23,0.276
2570.83,1300.94,314,17,0.231
3088.46,703.37,396,26,0.446
958.87,1162.82,716,41,0.044
2651.67,1115.68,350,19,0.247
3576.27,2329.55,428,17,0.144
2527.4,1535.04,485,23,0.52
2558.98,3444.53,461,18,0.202
1045.25,1719.3,497,14,0.356
2699.71,910.76,373,17,0.594
3799.43,2985.51,412,24,0.155
4680.81,1516.31,697,30,0.368
1755.7,2796.37,612,21,0.317
4815.7,2379.09,735,25,0.35
5432.77,774.44,754,25,0.533
2986.74,1551.88,578,18,0.294
2037.28,1531.62,427,26,0.489
3062.11,1095.72,465,29,0.055
3312.3,1264.15,518,20,0.262
2908.72,1683.45,632,24,0.344
300,1391.16,304,24,0.384
3048.73,2145.04,623,26,0.097
3382,200,792,30,0.212
3908.49,2003.1,352,28,0.147
5265.15,1560.89,776,12,0.077
1242.48,2494.73,632,31,0.595
4289.81,1198.21,490,27,0.19
2306.09,2126.12,447,33,0.306
1890.72,1231.88,745,26,0.361
3850.69,2951.85,823,21,0.355
4381.62,3177.34,612,26,0.008
3288.25,1913.16,352,29,0.536
2554.19,1287.68,455,37,0.134
2600.03,1907.93,807,35,0.311
5664.81,1230.02,685,23,0.433
2604.83,1149.37,699,21,0.081
3879.31,2733.69,386,44,0.358
2830.91,2554.97,422,27,0.338
3063.44,380.48,635,32,0.417
4514.03,2318.93,425,35,0.491
5240.4,3389.54,610,29,0.163
2354.66,970.83,626,21,0.118
2273.88,1098.79,731,25,0.309
3285.51,2371.6,571,26,0.431
2432.79,4265.24,782,18,0.267
959.15,2019.52,398,32,0.518
1396.44,1826.86,749,22,0.189
3316.08,3314.1,548,31,0.582
3057.54,2148.28,454,24,0.24
575.67,2390.95,510,16,0.358
2723.64,2499.28,469,32,0.345
3990.02,3283.46,534,20,0.074
3933.31,1673.7,325,28,0.122
2456.65,2802.73,496,31,0.148
3646.07,450.82,652,25,0.645
1337.77,969.21,779,20,0.346
4006.73,3350.69,610,22,0.08
2786.42,200,643,23,0.388
3838.12,1565.34,588,16,0.331
3403.73,1911.72,561,19,0.126
3894.6,1200.71,357,30,0.138
5312.48,3972.09,541,28,0.636
5177.46,2994.57,807,30,0.376
1387.83,1500.43,389,26,0.403
2594.45,1201.04,539,17,0.056
4694.37,2907.58,638,21,0.274
2003.29,1364.34,812,29,0.451
5440.48,2839.55,566,24,0.218
3162.79,2491.33,308,34,0.233
1932.91,1544.48,832,29,0.247
3177.34,2082.27,816,24,0.185
2205.9,2178.39,346,22,0.228
2685.84,2540.33,643,30,0.274
3309.52,200,771,21,0.343
2250.78,2430.68,349,27,0.149
3163.5,1874.82,653,24,0.249
2258.77,2272.74,522,19,0.509
2546.64,2110.49,647,20,0.222
1668.66,2228.89,543,33,0.305
2656.12,2498.79,429,32,0.322
3926.82,1765.51,567,33,0.332
3312.36,769.33,820,19,0.231
4550.89,1712.97,346,26,0.142
3007.27,3606.66,481,33,0.257
3573.36,353.64,520,24,0.347
3784.76,769.76,392,21,0.393
2697.93,1667.82,679,19,0.446
890.34,1067.98,522,31,0.176
1677.27,3247.13,611,20,0.415
5475.9,2055.35,617,28,0.118
3799.13,1552.42,739,32,0.434
2083.62,833.44,389,21,0.159
5422.74,898.73,612,27,0.526
1973.44,2539.82,759,23,0.128
651.24,1607.26,399,26,0.173
3407.28,200,741,27,0.357
3173.48,2387.7,642,24,0.273
1897.37,2687.11,647,36,0.236
3045.47,200,666,40,0.392
2403.26,1312.93,578,33,0.556
3148.49,2736.92,474,20,0.141
2683.43,2112.13,585,15,0.121
4904.22,2065.2,670,27,0.114
3813.61,2997.86,312,23,0.09
4906.76,2369.72,690,25,0.106
3513.25,2812.98,329,26,0.189
1271.43,1733.68,423,29,0.236
1661.37,3021.65,676,28,0.51
6031.44,2294.31,805,25,0.533
300,1998.2,538,28,0.337
2930.3,2229.29,577,21,0.371
446.25,1271.51,672,21,0.026
3732.39,2018.19,833,20,0.335
1607.32,463.46,364,17,0.308
3096.04,1983.06,449,32,0.043
3432.41,2790.87,307,26,0.027
4094.98,2123.97,800,26,0.292
2932.1,1363.7,582,33,0.169
1461.1,1896.96,362,25,0.151
4204.76,2091.58,652,23,0.205
4672.35,2175.28,688,37,0.15
3820.47,2456.88,448,30,0.502
3849.47,1650.89,580,23,0.168
3752.68,1466.9,644,29,0.465
3370.78,2018.66,703,25,0.52
2656.72,2059.86,843,26,0.305
3999.29,2494.26,638,19,0.029
4773.02,1980.48,812,29,0.642
2091.11,1930.1,316,23,0.147
3990.86,1718.29,465,25,0.356
3317.9,2472.31,656,23,0.327
300,2977.48,765,15,0.054
2734.3,2085.33,786,31,0.492
1958.37,1139,795,35,0.102
3641.45,2981.21,566,23,0.248
2601.48,2223.15,632,13,0.261
1508.36,2736.14,627,27,0.092
3332.61,2360.25,355,22,0.263
2297.17,1155.56,364,24,0.621
2977.26,2186.92,311,36,0.627
4094.64,2576.87,415,29,0.147
2860.99,3055.92,487,31,0.202
1202.29,2849.9,695,28,0.1
3124.32,1596.21,487,23,0.197
2046.59,2273.52,654,27,0.306
2343.2,2448.14,305,26,0.4
3174.74,437.47,846,31,0.332
2736.71,1868.99,556,18,0.237
4147.77,2488.57,467,28,0.324
3922.42,1598.88,408,22,0.209
4305.25,3027.31,716,28,0.236
446.28,3100.66,556,32,0.468
2449.53,2205.59,450,20,0.479
300,892.8,777,23,0.05
1296.98,1975.8,427,29,0.2
3359.84,2221.31,434,28,0.427
2414.52,2832.3,584,22,0.274
3858.12,2114.41,401,23,0.283
3363.63,2220.97,753,19,0.161
670.82,2570.26,651,18,0.184
3121.87,2952.96,564,21,0.531
3915.38,1437.36,831,29,0.117
2786.73,4364.04,775,28,0.483
4789.27,1425.59,393,23,0.349
300.39,2920.14,346,24,0.153
2379,2413.62,410,18,0.275
2167,646.9,561,18,0.483
2972.43,1840.89,498,22,0.181
3535.57,2273.6,302,20,0.142
4047.99,2065.2,479,21,0.326
2315.46,2700.89,656,28,0.669
2265.68,222.38,503,25,0.851
3057.31,408.46,682,22,0.067
2916.11,2094.4,515,20,0.144
3294,1756.54,517,24,0.504
4004.63,1667.25,656,23,0.172
2598.52,2934.14,412,27,0.276
1752.61,1721.87,700,29,0.374
2646.89,1672.72,659,26,0.197
1766.92,3773.8,441,25,0.315
5197.72,896.58,716,23,0.06
2677.34,2210.99,510,29,0.142
2331.46,2514.92,529,31,0.307
2469.47,1934.3,780,24,0.194
4122.65,2326.92,825,26,0.269
4259.8,1420.21,328,24,0.604
3286.2,1459.16,817,20,0.213
2671.44,1399.01,839,21,0.403
2536.22,1270.08,655,24,0.07
477.86,2274.18,401,26,0.332
4096.84,768.44,687,22,0.136
4909.3,845.18,803,29,0.853
2081.94,458.91,465,21,0.19
3399.12,1620.61,331,33,0.64
4053.18,2709.5,481,26,0.257
2285.21,1429.7,672,33,0.213
2829.02,2182.52,500,31,0.262
3850.72,1885.91,792,25,0.519
3536.68,3518.19,678,22,0.116
3751.96,1590.46,834,24,0.244
1232.52,3173.22,390,26,0.422
3189.4,2256.23,675,25,0.172
2180.6,2264.86,586,22,0.414
2405.76,2185.62,797,26,0.693
3809.15,3568.29,483,19,0.185
1209.84,3467.55,793,27,0.164
3989.34,2052.43,687,19,0.105
2346.28,1916.68,845,23,0.311
4526.23,828.97,633,14,0.207
2781.02,1921.93,724,30,0.157
5576.11,3512.87,415,29,0.144
633.25,2977.97,441,23,0.048
674.93,2243.56,618,22,0.368
4457.41,745.05,821,27,0.481
4428.39,1779.25,717,28,0.184
1269.16,1072.21,735,26,0.086
2012.01,1465.26,426,18,0.038
2613.59,1592.81,670,25,0.502
3301.71,2471.48,745,23,0.207
4264.22,2873.23,367,17,0.188
2892.88,2387.22,827,32,0.245
4546.82,2345.35,787,24,0.213
3787.52,3122.9,662,19,0.103
3269.34,1516.83,601,24,0.397
2089.36,1283.49,601,25,0.446
4518.49,2661.67,747,25,0.207
1563.49,2376.12,728,27,0.058
1916.61,2166.17,691,23,0.241
3995.07,1102.77,391,29,0.256
2942.99,2965.61,533,24,0.228
4328.22,2544.57,586,27,0.443
2367.98,3353.62,527,23,0.277
5017.19,1502.21,379,32,0.159
2399.23,2666.77,662,39,0.131
2869.14,1808.62,467,22,0.341
4489.42,1042.16,672,26,0.396
2701.35,1373.53,311,28,0.405
3160.68,2196.24,809,28,0.053
1752.7,1414.02,331,27,0.169
1581,1583.32,457,20,0.526
5605.87,2602.04,590,26,0.591
2566.63,2795.76,574,29,0.549
4459.54,1476.47,799,36,0.361
2872.99,3777.6,410,20,0.289
2271.58,2746,453,29,0.295
2517.6,200,751,23,0.58
1407.15,2295.17,718,27,0.507
2201.08,2977.49,839,29,0.238
4738.54,1316.96,354,24,0.149
5312,2704.94,604,22,0.68
4008.19,3818.76,678,24,0.451
3834.7,1689.9,788,24,0.383
2524.46,2166.65,471,22,0.136
1904.95,417.14,309,21,0.807
3278.81,2331.65,798,33,0.233
2346.42,2993.45,837,23,0.514
3148.65,3125.81,374,18,0.333
3515.39,369.04,630,26,0.615
2014.65,3069.7,830,25,0.768
3809.57,2403.68,429,22,0.287
871.39,2506.64,429,31,0.23
4044.14,2637.74,366,15,0.426
2971.26,2031.37,514,29,0.28
1810.7,1734.71,764,20,0.264
2140.9,3497.33,362,23,0.11
2842.63,653.77,397,24,0.106
3786.43,3275.15,597,22,0.428
3103.98,3158.26,407,22,0.239
3973.55,1429.28,490,21,0.138
2192.48,385.9,642,31,0.14
2845.14,1979.52,635,26,0.367
3664.27,2100.89,376,29,0.027
4293.4,1057.77,588,20,0.284
1687.1,200,676,25,0.021
300,1563.62,817,19,0.484
2402.24,602.26,313,27,0.263
2143.64,1715.24,772,21,0.259
3912.41,1814.15,609,22,0.524
1882.42,2295.97,396,26,0.664
4871.17,1873.54,726,25,0.179
3254.45,2856.75,622,26,0.159
2859.1,951.73,380,26,0.3
2243.12,2308.7,765,28,0.842
1313.92,1873.34,588,33,0.236
2292.06,2974.89,711,23,0.295
3195.31,1739.13,844,28,0.157
3312.68,2736.95,846,28,0.339
2035.19,2136.3,642,22,0.276
5039.82,1751.72,753,25,0.36
4811.86,986.07,619,21,0.426
4395.27,1192.28,531,30,0.682
3388.52,1844.51,779,26,0.294
1812.39,1874.48,509,27,0.04
2379.12,2407.02,606,23,0.479
3166.05,2984.87,637,29,0.506
4109.56,3316.63,617,32,0.169
2281,2329.89,582,20,0.247
3674.46,798.99,745,30,0.222
1769.39,1305.27,613,13,0.221
2882.99,1209.49,804,25,0.557
2874.06,522.88,612,17,0.409
1897.01,3727.75,316,26,0.269
3852.4,498.39,592,31,0.126
3189.56,920,466,29,0.506
2834.5,1342.03,509,27,0.095
2413.72,2764.86,423,24,0.519
1947.96,2591.6,315,26,0.215
4286.11,602.86,692,27,0.344
1195.73,1186.44,804,18,0.419
3640.69,1816.22,794,26,0.253
1034.18,958.86,622,30,0.099
3950.85,2589.3,651,21,0.698
3560.97,200,625,30,0.188
2366.23,2661.28,785,29,0.367
4106.49,2469.69,461,27,0.382
3515,2389.26,635,20,0.407
2589.39,1721.45,591,22,0.151
4065.63,3331.99,420,24,0.195
2911.55,636.46,636,24,0.133
1797.84,677.24,369,33,0.504
4563.52,3917.07,655,24,0.27
1293.73,2026.33,340,37,0.307
3424.21,2937.68,623,32,0.192
4304.51,1289.3,574,14,0.337
2537.21,1520.59,389,27,0.406
2063.64,3680.28,630,25,0.267
3021.22,2425.25,342,24,0.027
1057.75,2559.61,395,29,0.323
4950.26,1874.35,516,28,0.129
2508.52,1374.38,485,15,0.484
2648.79,2826.97,781,30,0.196
4116.61,1645.74,579,20,0.542
4313.08,1677.24,347,32,0.447
3173.03,1781.24,531,22,0.149
1510.77,2092.72,844,29,0.318
3475.65,1368.64,592,23,0.406
3514.07,1243.09,796,24,0.308
3108.97,1527.18,648,25,0.297
3730.26,1446.46,848,23,0.297
3424.31,200,360,26,0.225
901.09,3265.83,605,35,0.214
1809.47,2189.36,390,21,0.504
3155.62,1477.54,585,27,0.068
2806.58,2914.82,500,30,0.352
2958.71,670.36,676,23,0.226
2726.1,2463.7,304,23,0.387
2732.16,1854.14,573,25,0.196
2153.89,1755.19,671,22,0.311
2535.31,1597.74,633,30,0.19
3411.9,2818.18,370,21,0.097
1466.32,1766.7,560,23,0.149
2070.57,2023.45,788,26,0.156
2553.88,3420.31,817,25,0.184
2938.59,2139.63,411,16,0.351
3337.32,1717.89,556,27,0.32
5407.13,2048.4,465,22,0.214
2432.63,2537.85,437,22,0.231
4330.85,1160.57,475,31,0.401
1275.71,2701.68,622,27,0.414
6727.4,1651.28,469,25,0.39
3712.63,2380.81,326,19,0.261
